date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:15	36990/36990	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2029%20Jun%202022%2016:17:13%20GMT	http://www.eccellere.com/Aziende/cercaannunci.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Aziende/cercaannunci.16.delayed	(from http://www.eccellere.com/)
18:17:15	14400/14400	---M-Z	200	added ('OK')	text/html	etag:%220efc83c7aa0d01:0%22	http://www.eccellere.com/Convenzioni.htm	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Convenzioni.html	(from http://www.eccellere.com/)
18:17:15	11661/11661	---M-Z	200	added ('OK')	text/html	etag:%22095663a7aa0d01:0%22	http://www.eccellere.com/Scrivici.htm	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Scrivici.html	(from http://www.eccellere.com/)
18:17:16	31189/31189	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2029%20Jun%202022%2016:17:14%20GMT	http://www.eccellere.com/Aziende/Elencoaziende.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Aziende/Elencoaziende.19.delayed	(from http://www.eccellere.com/)
18:17:16	49/49	---M--	200	added ('OK')	image/gif	etag:%227640762af2bc81:0%22	http://www.eccellere.com/index_file/dot_clear.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/index_file/dot_clear.gif	(from http://www.eccellere.com/)
18:17:16	4132/4132	---M-Z	200	added ('OK')	application/javascript	etag:%2280fa7e315447c91:0%22	http://www.eccellere.com/index_file/PagePeel.js	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/index_file/PagePeel.js	(from http://www.eccellere.com/)
18:17:16	7624/7624	---M--	200	added ('OK')	image/jpeg	etag:%229a4e97f5ae2bc81:0%22	http://www.eccellere.com/images/meet.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/meet.jpg	(from http://www.eccellere.com/)
18:17:17	46032/46032	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:14%20GMT	http://www.eccellere.com/Rubriche/Attualita.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/Attualita.html	(from http://www.eccellere.com/)
18:17:17	51064/51064	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:15%20GMT	http://www.eccellere.com/Rubriche/Comunicazione.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/Comunicazione.html	(from http://www.eccellere.com/)
18:17:17	50105/50105	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:15%20GMT	http://www.eccellere.com/Rubriche/Marketing.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/Marketing.html	(from http://www.eccellere.com/)
18:17:17	39108/39108	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:15%20GMT	http://www.eccellere.com/Rubriche/GestioneStrategica.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/GestioneStrategica.html	(from http://www.eccellere.com/)
18:17:18	53019/53019	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:15%20GMT	http://www.eccellere.com/Rubriche/Tecnologia.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/Tecnologia.html	(from http://www.eccellere.com/)
18:17:18	49103/49103	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:16%20GMT	http://www.eccellere.com/Rubriche/GestioneRisorseUmane.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/GestioneRisorseUmane.html	(from http://www.eccellere.com/)
18:17:18	41703/41703	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:16%20GMT	http://www.eccellere.com/Rubriche/Management.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/Management.html	(from http://www.eccellere.com/)
18:17:18	39610/39610	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:16%20GMT	http://www.eccellere.com/Rubriche/Formazione.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/Formazione.html	(from http://www.eccellere.com/)
18:17:18	53523/53523	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:16%20GMT	http://www.eccellere.com/Rubriche/MercatiInternazionali.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/MercatiInternazionali.html	(from http://www.eccellere.com/)
18:17:19	30013/30013	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:17%20GMT	http://www.eccellere.com/Rubriche/Lifestyle.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/Lifestyle.html	(from http://www.eccellere.com/)
18:17:19	54181/54181	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:17%20GMT	http://www.eccellere.com/Rubriche/Impresedisuccesso.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/Impresedisuccesso.html	(from http://www.eccellere.com/)
18:17:19	39262/39262	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:17%20GMT	http://www.eccellere.com/Rubriche/CapitaniDImpresa.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/CapitaniDImpresa.html	(from http://www.eccellere.com/)
18:17:20	110406/110406	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:17%20GMT	http://www.eccellere.com/Rubriche/Recensioni.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/Recensioni.html	(from http://www.eccellere.com/)
18:17:20	41020/41020	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:18%20GMT	http://www.eccellere.com/Rubriche/BusinessPapers.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Rubriche/BusinessPapers.html	(from http://www.eccellere.com/)
18:17:20	28349/28349	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:18%20GMT	http://www.eccellere.com/Surveypage.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Surveypage.html	(from http://www.eccellere.com/)
18:17:20	16502/16502	---M-Z	200	added ('OK')	text/html	etag:%22807faa5386a4d01:0%22	http://www.eccellere.com/Links.htm	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Links.html	(from http://www.eccellere.com/)
18:17:20	49351/49351	---M--	200	added ('OK')	image/gif	etag:%22f4a46e502d11:0%22	http://www.eccellere.com/images/banner-galgano-300x245.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/banner-galgano-300x245.gif	(from http://www.eccellere.com/)
18:17:21	13358/13358	---M--	200	added ('OK')	image/gif	etag:%22676fede8e746cf1:0%22	http://www.eccellere.com/Partners/IDC/img/cisco_ti_120x60_animation.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/Partners/IDC/img/cisco_ti_120x60_animation.gif	(from http://www.eccellere.com/)
18:17:21	3158/3158	---M--	200	added ('OK')	image/jpeg	etag:%22e8db8a44847cd1:0%22	http://www.eccellere.com/images/Anthea2012120x60.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/Anthea2012120x60.jpg	(from http://www.eccellere.com/)
18:17:21	31670/31670	---M--	200	added ('OK')	image/gif	etag:%22c2d257b2e39c81:0%22	http://www.eccellere.com/images/bannerjob.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/bannerjob.gif	(from http://www.eccellere.com/)
18:17:21	4600/4600	---M--	200	added ('OK')	image/gif	etag:%2293f1c7213858cb1:0%22	http://www.eccellere.com/images/Employer%20Branding%20Review%20banner%20120x60.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/Employer%20Branding%20Review%20banner%20120x60.gif	(from http://www.eccellere.com/)
18:17:21	4996/4996	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jun%202022%2016:17:19%20GMT	http://www.eccellere.com/apriblog.aspoldcancellato	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/apriblog.32.delayed	(from http://www.eccellere.com/)
18:17:22	4403/4403	---M--	200	added ('OK')	image/jpeg	etag:%222517e7a7b8adca1:0%22	http://www.eccellere.com/images/bannerblog.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/bannerblog.jpg	(from http://www.eccellere.com/)
18:17:22	4316/4316	---M--	200	added ('OK')	image/jpeg	etag:%22db6631ab38e3ca1:0%22	http://www.eccellere.com/images/net1news.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/net1news.jpg	(from http://www.eccellere.com/)
18:17:22	163/163	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Jun%202022%2016:17:20%20GMT	http://www.eccellere.com/businessevents	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/businessevents.35.delayed	(from http://www.eccellere.com/)
18:17:22	5846/5846	---M--	200	added ('OK')	image/gif	etag:%22dc7bff4d146ca1:0%22	http://www.eccellere.com/images/bannereccellerebe.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/bannereccellerebe.gif	(from http://www.eccellere.com/)
18:17:23	3693/3693	---M--	200	added ('OK')	image/jpeg	etag:%22c930d5dc1b9dca1:0%22	http://www.eccellere.com/images/blogeccellere.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/blogeccellere.jpg	(from http://www.eccellere.com/)
18:17:23	130/130	---M--	302	error ('Object%20moved')	text/html	date:Wed,%2029%20Jun%202022%2016:17:20%20GMT	http://www.eccellere.com/community/linkedin.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/community/linkedin.38.delayed	(from http://www.eccellere.com/)
18:17:23	7506/7506	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:20%20GMT	http://www.eccellere.com/businessevents/	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/businessevents/index.html	(from http://www.eccellere.com/)
18:17:23	40007/40007	---M--	200	added ('OK')	image/gif	etag:%227293c0fae086c81:0%22	http://www.eccellere.com/images/bannerlinkedin.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/bannerlinkedin.gif	(from http://www.eccellere.com/)
